emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),Bond Name,Nominal Value,Maturity Date,Days to Maturity,Days to Next Payment,Interest Type,Nominal Margin,Current Period Interest
CORDIA POLSKA FINANCE,CPF1227,GPW ASO,1,"100,9900","100,9900",-,-,2024-12-20,-,"100,9900",-,2,12,"100,5000","100,9900",28,1,3,14,"14,17",CPF1227,"1,000.00",2027-12-18,1090.0,178,CB-FC-PPzmienne (WIBOR6M + marża),4.50%,10.28%
CYFROWY POLSAT,"CPS0130
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"101,9900","101,9900",-,-,2024-12-20,-,"102,0000",-,1,1,"101,8100","102,0000",91,1,13,221,"235,24",,,,,,,,
DANTEX GROUP,DAN0126,GPW ASO,1,"102,0000","101,5000",-,-,2024-12-20,-,"101,5000",-,1,3,"99,9200","102,0000",56,1,1,66,"68,22",DAN0126,"1,000.00",2026-01-24,397.0,33,CB-FC-PPzmienne (WIBOR3M + marża),4.80%,10.65%
DEKPOL,"DEK0626
                                    

                                                                                                             /Z",GPW RR,1,"100,5000",-,-,-,2024-12-17,-,"100,5000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
DEKPOL,DEK0628,GPW ASO,1,"101,7000","101,7000",-,-,2024-12-20,-,"101,7000",-,1,5,"100,5100","101,7000",4,1,1,2,"2,05",DEK0628,"1,000.00",2028-06-06,1261.0,166,CB-FC-PPzmienne (WIBOR6M + marża),4.00%,9.78%
DEKPOL,DEK1228,GPW ASO,1,"100,1000","100,2000",-,-,2024-12-20,-,"100,2000",-,2,22,"100,0200","100,2000",41,1,14,208,"209,51",DEK1228,"1,000.00",2028-12-02,1440.0,70,CB-FC-PPzmienne (WIBOR3M + marża),3.90%,9.75%
DEKPOL,DKP0225,GPW RR,1,"100,5000","100,2300",-,-,2024-12-20,-,"100,0100",-,1,1,"100,0100","100,4800",3,1,6,25,"25,36",DKP0225,"1,000.00",2025-02-13,52.0,53,CB-FC-POzmienne (WIBOR3M + marża),4.70%,10.54%
DEKPOL,"DKP0626
                                    

                                                                                                             /Z",GPW RR,1,"100,2400",-,-,-,2024-12-17,-,"100,2400",-,-,-,-,-,-,-,-,-,-,,,,,,,,
DEKPOL,"DKP0925
                                    

                                                                                                             /Z",GPW RR,1,"100,2000",-,-,-,2024-12-10,-,"100,2000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
DINO POLSKA,DNP1025,GPW ASO,1,"100,4600",-,-,-,2024-12-11,-,"100,4600",-,2,4,"100,5100","104,9900",4,1,-,-,-,DNP1025,"1,000.00",2025-10-20,301.0,29,CB-FC-PPzmienne (WIBOR3M + marża),1.20%,7.06%
DOM DEVELOPMENT,DOM0526,GPW ASO,1,"101,0000",-,-,-,2024-11-25,-,"101,0000",-,-,-,-,"101,9400",25,1,-,-,-,DOM0526,"1,000.00",2026-05-12,505.0,141,CB-FC-PPzmienne (WIBOR6M + marża),1.30%,7.13%
DOM DEVELOPMENT,DOM0925,GPW ASO,1,"101,0000",-,-,-,2024-06-25,-,"101,0000",-,-,-,-,-,-,-,-,-,-,DOM0925,"1,000.00",2025-09-25,276.0,93,CB-FC-PPzmienne (WIBOR6M + marża),1.75%,7.60%
DOM DEVELOPMENT,DOM0928,GPW ASO,1,"100,0000",-,-,-,2024-12-02,-,"100,0000",-,-,-,-,-,-,-,-,-,-,DOM0928,"1,000.00",2028-09-28,1375.0,96,CB-FC-PPzmienne (WIBOR6M + marża),1.55%,7.40%
DOMESTA,DST1126,GPW ASO,1,"103,8000",-,-,-,2024-12-19,-,"103,8000",-,1,3,"100,0200","103,7900",13,1,-,-,-,DST1126,"1,000.00",2026-11-10,687.0,50,CB-FC-PPzmienne (WIBOR3M + marża),5.25%,11.09%
DEVELIA,DVL0326,GPW ASO,1,"107,0000",-,-,-,2024-12-17,-,"107,0000",-,1,10,"105,6000","107,0000",10,1,-,-,-,DVL0326,"1,000.00",2026-03-27,459.0,5,CB-FC-PPzmienne (WIBOR3M + marża),4.10%,9.95%
DEVELIA,DVL0528,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DVL0528,"1,000.00",2028-05-19,1243.0,60,CB-FC-PPzmienne (WIBOR3M + marża),3.00%,8.85%
DEVELIA,DVL0726,GPW ASO,1,"102,9500",-,-,-,2024-08-08,-,"102,9500",-,1,3,"102,9500",-,-,-,-,-,-,DVL0726,"1,000.00",2026-07-06,560.0,12,CB-FC-PPzmienne (WIBOR3M + marża),3.58%,9.42%
DEVELIA,DVL1028,GPW ASO,1,"100,0100",-,-,-,2024-11-22,-,"100,0100",-,1,3,"100,0000","103,9900",6,2,-,-,-,DVL1028,"1,000.00",2028-10-30,1407.0,39,CB-FC-PPzmienne (WIBOR3M + marża),2.50%,8.35%
DEVELIA,"DVL1225
                                    

                                                                                                             /Z",GPW RR,1,"101,9000",-,-,-,2024-12-09,-,"101,9000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
DEVELIA,DVL1227,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DVL1227,"1,000.00",2027-12-08,1080.0,78,CB-FC-PPzmienne (WIBOR3M + marża),3.40%,9.25%
DEVELOPRES,DVR0726,GPW ASO,1,"101,5000","101,7900",-,-,2024-12-20,-,"101,7900",-,1,4,"100,8200","101,7800",19,1,2,4,"4,16",DVR0726,"1,000.00",2026-07-25,579.0,34,CB-FC-PPzmienne (WIBOR3M + marża),6.40%,12.25%
DEVELOPRES,DVR1226,GPW ASO,1,"100,1200",-,-,-,2024-12-04,-,"100,1200",-,1,4,"100,6600","104,0000",10,1,-,-,-,DVR1226,"1,000.00",2026-12-22,729.0,90,CB-FC-PPzmienne (WIBOR3M + marża),5.40%,11.26%
ECHO INVESTMENT,ECH0125,GPW RR,1,"100,1800","100,0000",-,-,2024-12-20,-,"100,0000",-,1,185,"100,0000","100,1600",35,1,2,65,"6,80",ECH0125,100.00,2025-01-10,18.0,19,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.86%
ECHO INVESTMENT,ECH0128,GPW RR,1,"101,7200","101,7300",-,-,2024-12-20,-,"101,7300",-,1,31,"101,7200","101,7300",82,1,8,541,"57,21",ECH0128,100.00,2028-01-31,1134.0,40,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.87%
ECHO INVESTMENT,ECH0226,GPW RR,1,"101,6600",-,-,-,2024-12-19,-,"101,6600",-,1,250,"101,6600","102,3000",200,1,-,-,-,ECH0226,100.00,2026-02-22,426.0,62,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.85%
ECHO INVESTMENT,ECH0229,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ECH0229,"10,000.00",2029-02-27,1527.0,67,CB-FC-PPzmienne (WIBOR6M + marża),4.50%,10.35%
ECHO INVESTMENT,ECH0426,GPW RR,1,"101,5000",-,-,-,2024-12-18,-,"101,5000",-,1,100,"101,2300","101,9900",19,1,-,-,-,ECH0426,100.00,2026-04-27,490.0,126,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.85%
ECHO INVESTMENT,ECH0428,GPW RR,1,"101,7100","101,7000",-,-,2024-12-20,-,"102,1900",-,1,600,"102,0000","102,3400",225,1,6,1325,"137,19",ECH0428,100.00,2028-04-26,1220.0,125,CB-FC-POzmienne (WIBOR6M + marża),3.80%,9.65%
ECHO INVESTMENT,ECH0528,GPW ASO,1,"102,2000",-,-,-,2024-09-23,-,"102,2000",-,1,3,"102,2000",-,-,-,-,-,-,ECH0528,"10,000.00",2028-05-24,1248.0,153,CB-FC-PPzmienne (WIBOR6M + marża),4.50%,10.31%
ECHO INVESTMENT,ECH0529,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ECH0529,"10,000.00",2029-05-13,1602.0,142,CB-FC-PPzmienne (WIBOR6M + marża),4.50%,10.34%
ECHO INVESTMENT,ECH0626,GPW RR,1,"101,8000","101,7500",-,-,2024-12-20,-,"101,9400",-,1,19,"101,5000","101,9400",100,1,2,183,"18,64",ECH0626,100.00,2026-06-27,551.0,5,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.86%
ECHO INVESTMENT,ECH0627,GPW RR,1,"101,7400","101,7700",-,-,2024-12-20,-,"101,7600",-,1,100,"101,4000","101,7600",14,1,3,59,"6,00",ECH0627,100.00,2027-06-28,917.0,6,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.86%
ECHO INVESTMENT,ECH0829,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ECH0829,"10,000.00",2029-08-01,1682.0,41,CB-FC-PPzmienne (WIBOR6M + marża),4.50%,10.37%
ECHO INVESTMENT,ECH0926,GPW RR,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,2,125,"101,3400","102,3300",100,1,-,-,-,ECH0926,100.00,2026-09-06,622.0,74,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.85%
ECHO INVESTMENT,ECH1127,GPW RR,1,"101,6900",-,-,-,2024-12-19,-,"101,6900",-,1,100,"101,1200","101,9500",100,1,-,-,-,ECH1127,100.00,2027-11-15,1057.0,144,CB-FC-POzmienne (WIBOR6M + marża),4.00%,9.84%
ECHO INVESTMENT,ECH1227,GPW ASO,1,"99,0500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ECH1227,"10,000.00",2027-12-08,1080.0,168,CB-FC-PPzmienne (WIBOR6M + marża),4.50%,10.28%
EUROPEJSKI BANK,EIB0925,GPW RR,1,"99,6900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EIB0925,"1,000.00",2025-09-25,276.0,277,MB-XC-POstałe,7.00%,
ENEA,ENA0527,GPW ASO,1,"100,8500",-,-,-,2024-07-31,-,"100,8500",-,-,-,-,-,-,-,-,-,-,ENA0527,"100,000.00",2027-05-21,879.0,150,CB-FC-PPzmienne (WIBOR6M + marża),1.25%,7.06%
ENEA,ENA0530,GPW ASO,1,"102,5000",-,-,-,2024-10-31,-,"102,5000",-,1,2,"100,0000",-,-,-,-,-,-,ENA0530,"100,000.00",2030-05-21,1975.0,150,CB-FC-PPzmienne (WIBOR6M + marża),1.60%,7.41%
