emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),Bond Name,Nominal Value,Maturity Date,Days to Maturity,Days to Next Payment,Interest Type,Nominal Margin,Current Period Interest
SANTANDER BANK POLSKA,SPL0927,GPW ASO,1,"100,2500",-,-,-,2024-12-18,-,"100,2500",-,1,1,"100,0000","100,2400",1,1,-,-,-,SPL0927,"500,000.00",2027-09-30,1011.0,98,CB-FC-PPzmienne (WIBOR6M + marża),1.40%,7.25%
SANTANDER BANK POLSKA,SPL1126,GPW ASO,1,"101,2500",-,-,-,2024-08-01,-,"101,2500",-,1,2,"100,0000",-,-,-,-,-,-,SPL1126,"500,000.00",2026-11-30,707.0,158,CB-FC-PPzmienne (WIBOR6M + marża),1.80%,7.60%
INVEST TDJ ESTATE,TDJ1226,GPW ASO,1,"103,5000",-,-,-,2024-12-16,-,"103,5000",-,1,1,"102,0000","103,5000",39,1,-,-,-,TDJ1226,"1,000.00",2026-12-30,737.0,8,CB-FC-PPzmienne (WIBOR6M + marża),4.25%,10.11%
TAURON POLSKA ENERGIA,"TPE1025
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"101,0000","100,9900",-,-,2024-12-20,-,"100,9900",-,1,10,"100,3000","100,9900",5,1,1,13,"13,28",,,,,,,,
UNIDEVELOPMENT,UDV0426,GPW ASO,1,"100,9000",-,-,-,2024-12-12,-,"100,9000",-,1,1,"100,9000","101,8000",61,1,-,-,-,UDV0426,"1,000.00",2026-04-05,468.0,14,CB-FC-PPzmienne (WIBOR3M + marża),5.25%,11.09%
UNIDEVELOPMENT,UDV0726,GPW ASO,1,"101,0000",-,-,-,2024-08-20,-,"101,0000",-,1,2,"100,5000",-,-,-,-,-,-,UDV0726,"1,000.00",2026-07-31,585.0,39,CB-FC-PPzmienne (WIBOR3M + marża),4.60%,10.45%
UNIBEP SA,UNI1026,GPW ASO,1,"99,6000","99,5500",-,-,2024-12-20,-,"99,6000",-,-,-,-,"99,6000",476,1,4,409,"41,51",UNI1026,100.00,2026-10-19,665.0,118,CB-FC-PPzmienne (WIBOR6M + marża),4.30%,10.15%
VEHIS FINANSE,VHI0526,GPW ASO,1,"102,9800",-,-,-,2024-12-19,-,"102,9800",-,1,10,"102,0000","102,9800",12,1,-,-,-,VHI0526,"1,000.00",2026-05-28,521.0,68,CB-FC-PPzmienne (WIBOR3M + marża),7.00%,12.85%
VEHIS FINANSE,VHI0626,GPW ASO,1,"102,5500","102,5500",-,-,2024-12-20,-,"102,5500",-,1,12,"101,6000","102,5500",12,1,1,10,"10,26",VHI0626,"1,000.00",2026-06-27,551.0,5,CB-FC-PPzmienne (WIBOR3M + marża),6.70%,12.55%
VICTORIA DOM SPÓŁKA AKCYJNA,VI10825,GPW ASO,1,"100,9900","101,0000",-,-,2024-12-20,-,"101,0000",-,1,4,"100,5000","101,4000",46,1,1,3,"3,05",VI10825,"1,000.00",2025-08-30,250.0,68,CB-FC-PPzmienne (WIBOR3M + marża),4.80%,10.65%
VICTORIA DOM SPÓŁKA AKCYJNA,VID0326,GPW ASO,1,"102,6000",-,-,-,2024-12-19,-,"102,6000",-,1,3,"102,7000","103,0900",16,3,-,-,-,VID0326,"1,000.00",2026-03-21,453.0,160,CB-FC-PPzmienne (WIBOR6M + marża),7.00%,12.80%
VICTORIA DOM SPÓŁKA AKCYJNA,VID0427,GPW ASO,1,"101,1000","101,5000",-,-,2024-12-20,-,"101,5000",-,2,25,"101,5000","102,2900",19,2,1,5,"5,21",VID0427,"1,000.00",2027-04-02,830.0,101,CB-FC-POzmienne (WIBOR6M + marża),5.25%,11.10%
VICTORIA DOM SPÓŁKA AKCYJNA,VID0626,GPW ASO,1,"102,9500",-,-,-,2024-12-19,-,"102,9500",-,1,4,"100,1000","103,3700",10,1,-,-,-,VID0626,"1,000.00",2026-06-21,545.0,181,CB-FC-PPzmienne (WIBOR6M + marża),6.50%,12.28%
VICTORIA DOM SPÓŁKA AKCYJNA,VID0827,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,2,"100,5600","101,3300",5,1,-,-,-,VID0827,"1,000.00",2027-08-01,951.0,41,CB-FC-POzmienne (WIBOR6M + marża),4.95%,10.82%
VICTORIA DOM SPÓŁKA AKCYJNA,VID0926,GPW ASO,1,"103,5700",-,-,-,2024-12-19,-,"103,5700",-,1,8,"100,6100","103,5700",27,1,-,-,-,VID0926,"1,000.00",2026-09-27,643.0,95,CB-FC-PPzmienne (WIBOR6M + marża),6.30%,12.15%
VICTORIA DOM SPÓŁKA AKCYJNA,VID1226,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,3,"101,1700","102,7200",12,1,-,-,-,VID1226,"1,000.00",2026-12-21,728.0,181,CB-FC-POzmienne (WIBOR6M + marża),5.95%,11.73%
VICTORIA DOM SPÓŁKA AKCYJNA,VID1227,GPW ASO,1,"100,5000","100,5000",-,-,2024-12-20,-,"101,6800",-,2,11,"100,5000","101,6800",1,1,9,65,"65,74",,,,,,,,
VINDEXUS,VIN0127,GPW ASO,1,"103,4900","103,9800",-,-,2024-12-20,-,"103,9800",-,2,130,"102,9300","103,9400",322,2,2,136,"14,45",VIN0127,100.00,2027-01-19,757.0,28,CB-FC-PPzmienne (WIBOR3M + marża),6.00%,11.85%
VINDEXUS,VIN0327,GPW ASO,1,"102,5800","102,5800",-,-,2024-12-20,-,"102,5800",-,1,150,"101,5800","102,5900",72,1,1,70,"7,18",VIN0327,100.00,2027-03-26,823.0,4,CB-FC-PPzmienne (WIBOR3M + marża),5.40%,11.25%
VINDEXUS,VIN0727,GPW ASO,1,"101,5000",-,-,-,2024-12-10,-,"101,5000",-,3,184,"101,5000","103,0000",8,1,-,-,-,VIN0727,100.00,2027-07-15,934.0,24,CB-FC-PPzmienne (WIBOR3M + marża),4.90%,10.76%
VOXEL,VOX0625,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,3,"100,1100","103,9900",35,2,-,-,-,VOX0625,600.00,2025-06-24,183.0,1,CB-FC-PPzmienne (WIBOR6M + marża),3.10%,8.96%
WB ELECTRONICS,WBE1126,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WBE1126,"1,000.00",2026-11-06,683.0,50,CB-FC-PPzmienne (WIBOR3M + marża),2.00%,7.84%
WHITE STONE DEVELOPMENT,WSD0427,GPW ASO,1,"101,0000",-,-,-,2024-12-18,-,"101,0000",-,2,9,"100,6000","103,5000",11,1,-,-,-,WSD0427,"1,000.00",2027-04-12,840.0,21,CB-FC-PPzmienne (WIBOR3M + marża),5.30%,11.15%
WHITE STONE DEVELOPMENT,WSD0627,GPW ASO,1,"101,0000",-,-,-,2024-12-13,-,"101,0000",-,1,20,"100,5000","103,3000",19,1,-,-,-,WSD0627,"1,000.00",2027-06-28,917.0,6,CB-FC-PPzmienne (WIBOR3M + marża),4.40%,10.25%
