emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),data pobrania
CAVATINA HOLDING,CAV1227,GPW RR,1,"100,1800",-,-,-,2025-01-28,-,"100,1800",-,1,100,"99,0000","100,1800",114,1,-,-,-,2025-01-29 11:53:04
COGNOR,CO10129,GPW ASO,1,"99,6500",-,-,-,2025-01-28,-,"99,6500",-,1,2,"99,7000","99,8000",35,1,-,-,-,2025-01-29 11:53:04
COGNOR,COG0129,GPW ASO,1,"99,8000",-,-,-,2025-01-28,-,"99,8000",-,1,10,"99,7500","100,0600",10,1,-,-,-,2025-01-29 11:53:04
CORDIA POLSKA FINANCE,CPF1227,GPW ASO,1,"100,9000",-,-,-,2025-01-28,-,"100,9000",-,1,15,"100,6000","101,4000",18,1,-,-,-,2025-01-29 11:53:04
CYFROWY POLSAT,CPS0130,GPW ASO,1,"104,1500","104,1500","104,1500","104,1500",09:00:00,10,"104,1500",0.00,3,19,"104,0000","104,1500",100,1,1,10,"10,47",2025-01-29 11:53:04
DANTEX GROUP,DAN0126,GPW ASO,1,"104,0000",-,-,-,2025-01-28,-,"104,0000",-,1,20,"100,2000","104,0000",59,1,-,-,-,2025-01-29 11:53:04
DEKPOL,DEK0628,GPW ASO,1,"101,9900",-,-,-,2025-01-28,-,"101,9900",-,1,5,"101,0300","101,9900",18,1,-,-,-,2025-01-29 11:53:04
DEKPOL,DEK1228,GPW ASO,1,"100,3000","100,3100","100,3000","100,3100",09:08:39,1,"100,3000",0.00,1,4,"100,4200","100,8000",69,1,2,6,"6,11",2025-01-29 11:53:04
DEKPOL,DKP0225,GPW RR,1,"99,5500",-,-,-,2025-01-28,-,"99,5500",-,1,2,"99,6200","99,9900",10,1,-,-,-,2025-01-29 11:53:04
DINO POLSKA,DNP1025,GPW ASO,1,"104,9900",-,-,-,2025-01-14,-,"104,9900",-,1,3,"100,8000","103,0000",4,1,-,-,-,2025-01-29 11:53:04
DOM DEVELOPMENT,DOM0526,GPW ASO,1,"102,0000",-,-,-,2025-01-24,-,"102,0000",-,-,-,-,"102,0000",23,1,-,-,-,2025-01-29 11:53:04
DOM DEVELOPMENT,DOM0925,GPW ASO,1,"101,0000",-,-,-,2024-06-25,-,"101,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
DOM DEVELOPMENT,DOM0928,GPW ASO,1,"100,0000",-,-,-,2024-12-02,-,"100,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
DOMESTA,DST0727,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,10,"100,0000","101,4900",258,1,-,-,-,2025-01-29 11:53:04
DOMESTA,DST1126,GPW ASO,1,"103,0000",-,-,-,2025-01-27,-,"103,0000",-,1,2,"100,0000",-,-,-,-,-,-,2025-01-29 11:53:04
DEVELIA,DVL0326,GPW ASO,1,"105,6000",-,-,-,2025-01-23,-,"105,6000",-,1,10,"105,5000","106,8000",10,1,-,-,-,2025-01-29 11:53:04
DEVELIA,DVL0528,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
DEVELIA,DVL0726,GPW ASO,1,"102,9500",-,-,-,2024-08-08,-,"102,9500",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
DEVELIA,DVL1028,GPW ASO,1,"100,9900",-,-,-,2025-01-27,-,"100,9900",-,1,10,"100,5500","101,4900",12,1,-,-,-,2025-01-29 11:53:04
DEVELIA,DVL1227,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,3,"101,5000",-,-,-,-,-,-,2025-01-29 11:53:04
DEVELOPRES,DVR0726,GPW ASO,1,"102,5000","102,5000","102,5000","102,5000",09:01:28,17,"102,5000",0.00,2,8,"102,0000","103,0000",1,1,1,17,"17,46",2025-01-29 11:53:04
DEVELOPRES,DVR1226,GPW ASO,1,"100,6700",-,-,-,2025-01-17,-,"100,6700",-,1,10,"100,4500","103,4500",11,1,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0128,GPW RR,1,"102,4400",-,-,-,2025-01-28,-,"102,4400",-,1,30,"101,6800","102,4400",229,3,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0226,GPW RR,1,"102,5000","102,2700","102,2700","102,2700",09:00:00,201,"102,2700",-0.22,1,50,"101,8000","102,2700",1,1,2,202,"21,54",2025-01-29 11:53:04
ECHO INVESTMENT,ECH0229,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0426,GPW RR,1,"101,6000",-,-,-,2025-01-27,-,"101,6000",-,1,220,"101,4000","101,5400",84,1,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0428,GPW RR,1,"101,9900","101,9500","101,9500","101,9500",11:31:53,161,"101,9500",-0.04,1,100,"101,3800","101,9400",100,1,2,200,"20,90",2025-01-29 11:53:04
ECHO INVESTMENT,ECH0528,GPW ASO,1,"102,2000",-,-,-,2024-09-23,-,"102,2000",-,1,1,"102,2000",-,-,-,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0529,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0626,GPW RR,1,"102,0000","102,4400","102,4400","102,4400",09:00:00,48,"102,4400",0.43,1,25,"101,0500","102,4400",16,1,2,64,"6,62",2025-01-29 11:53:04
ECHO INVESTMENT,ECH0627,GPW RR,1,"102,5000",-,-,-,2025-01-28,-,"102,5000",-,1,59,"102,0000","103,0000",144,1,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0829,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH0926,GPW RR,1,"102,9000",-,-,-,2025-01-22,-,"102,9000",-,1,77,"101,6200","102,4800",21,1,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH1127,GPW RR,1,"101,9800",-,-,-,2025-01-28,-,"101,9800",-,1,100,"101,5000","102,8200",65,1,-,-,-,2025-01-29 11:53:04
ECHO INVESTMENT,ECH1227,GPW ASO,1,"99,0500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
EUROPEJSKI BANK,EIB0925,GPW RR,1,"99,6900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ENEA,ENA0527,GPW ASO,1,"100,8500",-,-,-,2024-07-31,-,"100,8500",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ENEA,ENA0530,GPW ASO,1,"102,5000",-,-,-,2024-10-31,-,"102,5000",-,-,-,-,"102,4000",10,1,-,-,-,2025-01-29 11:53:04
ERBUD,ERB0925,GPW ASO,1,"100,0000",-,-,-,2025-01-20,-,"100,0000",-,1,10,"100,0000","101,0000",3,1,-,-,-,2025-01-29 11:53:04
EUROCASH,EUR1225,GPW ASO,1,"100,0000",-,-,-,2025-01-28,-,"100,0000",-,2,13,"100,0000","100,1400",16,1,-,-,-,2025-01-29 11:53:04
GHELAMCO INVEST,GHE0128,GPW RR,1,"102,3000","102,3000","102,3000","102,4800",10:34:30,37,"102,4800",0.18,1,683,"102,4800","102,7000",60,1,3,119,"12,25",2025-01-29 11:53:04
GHELAMCO INVEST,GHE0226,GPW ASO,1,"100,9900","101,0000","101,0000","101,0800",10:40:36,6,"101,0800",0.09,2,39,"101,0000","101,1000",50,1,2,12,"12,12",2025-01-29 11:53:04
GHELAMCO INVEST,GHE0327,GPW ASO,1,"101,2100",-,-,-,2025-01-28,-,"101,2100",-,1,32,"101,2100","101,7900",7,2,-,-,-,2025-01-29 11:53:04
GHELAMCO INVEST,GHE0728,GPW ASO,1,"102,4000",-,-,-,2025-01-28,-,"102,4000",-,1,19,"101,6200","102,4000",9,1,-,-,-,2025-01-29 11:53:04
GHELAMCO INVEST,GHE1027,GPW RR,1,"101,7500",-,-,-,2025-01-27,-,"101,7500",-,1,50,"101,1700","102,2000",120,1,-,-,-,2025-01-29 11:53:04
GHELAMCO INVEST,GHE1127,GPW ASO,1,"102,0000",-,-,-,2025-01-27,-,"102,0000",-,1,6,"100,5000","102,4000",10,1,-,-,-,2025-01-29 11:53:04
GHELAMCO INVEST,GHE1128,GPW ASO,1,"102,0000",-,-,-,2025-01-28,-,"102,0000",-,1,30,"100,9000","102,0000",20,2,-,-,-,2025-01-29 11:53:04
GHELAMCO INVEST,GHI0725,GPW ASO,1,"100,7500",-,-,-,2025-01-24,-,"100,7500",-,1,20,"100,5000","100,7400",2,1,-,-,-,2025-01-29 11:53:04
GHELAMCO INVEST,GHI0925,GPW ASO,1,"100,5900",-,-,-,2025-01-28,-,"100,5900",-,1,10,"100,2600","100,6000",4,1,-,-,-,2025-01-29 11:53:04
HM INWEST,HMI0327,GPW ASO,1,"101,2800",-,-,-,2025-01-28,-,"101,2800",-,1,47,"101,4600","101,7500",103,1,-,-,-,2025-01-29 11:53:04
HM INWEST,HMI0627,GPW ASO,1,"101,5500",-,-,-,2025-01-27,-,"101,5500",-,1,28,"101,5000","101,7100",180,1,-,-,-,2025-01-29 11:53:04
I2 DEVELOPMENT,I2D0225,GPW ASO,1,"99,5000",-,-,-,2025-01-28,-,"99,5000",-,1,3,"99,5000",-,-,-,-,-,-,2025-01-29 11:53:04
INTERNETOWY FUNDUSZ LEASINGOWY,IFL0334,GPW ASO,1,"100,1300",-,-,-,2025-01-22,-,"100,1300",-,2,12,"99,0000","100,1300",30,1,-,-,-,2025-01-29 11:53:04
INFINITY,INF0326,GPW ASO,1,"102,6500",-,-,-,2025-01-27,-,"102,6500",-,1,3,"101,4000","102,6500",73,1,-,-,-,2025-01-29 11:53:04
INFINITY,INY0225,GPW ASO,1,"100,9000",-,-,-,2024-12-04,-,"100,9000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
INFINITY,INY0725,GPW ASO,1,"100,2900",-,-,-,2025-01-28,-,"100,2900",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
INPRO SA,INP1025,GPW ASO,1,"99,9900",-,-,-,2023-04-14,-,"99,9900",-,1,5,"97,4000",-,-,-,-,-,-,2025-01-29 11:53:04
INDOS,INS0126,GPW ASO,1,"101,9800",-,-,-,2024-10-22,-,"101,9800",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
INDOS,INS0127,GPW ASO,1,"103,1000",-,-,-,2025-01-24,-,"103,1000",-,1,10,"102,8000","103,8900",10,1,-,-,-,2025-01-29 11:53:04
INDOS,INS0228,GPW ASO,1,"98,0000",-,-,-,2025-01-27,-,"98,0000",-,1,25,"101,9000","103,7000",3,1,-,-,-,2025-01-29 11:53:04
INDOS,INS0526,GPW ASO,1,"101,5000",-,-,-,2024-12-30,-,"101,5000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
INPOST SOCIÉTÉ ANONYME W LUKSE,IPT0627,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
JHM DEVELOPMENT,JHM1225,GPW ASO,1,"102,0000",-,-,-,2024-02-09,-,"102,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,2000","102,2000","102,2000","102,2000",11:33:03,9,"102,2000",0.00,1,10,"102,1500","102,5800",4,1,1,9,"9,26",2025-01-29 11:53:04
KGHM POLSKA MIEDŹ SA,KGH0631,GPW ASO,1,"100,9900",-,-,-,2025-01-28,-,"100,9900",-,1,10,"100,8100","100,9500",100,1,-,-,-,2025-01-29 11:53:04
KREDYT INKASO,KIN1025,GPW RR,1,"100,7000",-,-,-,2025-01-24,-,"100,7000",-,1,100,"100,5000","101,7000",14,1,-,-,-,2025-01-29 11:53:04
KREDYT INKASO,KRI0228,GPW RR,1,"103,5000","103,5000","103,5000","103,5000",09:54:24,15,"103,5000",0.00,1,32,"103,1000","103,7900",26,1,1,15,"15,92",2025-01-29 11:53:04
